,110,111,similarity
12344,hr5672.110,hr104.111,0.719469559710872
8463,hr572.110,hr104.111,0.6772961564972556
11183,hr5755.110,hr104.111,0.6081565227812957
12011,hr5794.110,hr104.111,0.5474566446088803
7800,hr5980.110,hr104.111,0.7908864929293549
11058,hr6072.110,hr104.111,0.5550872864712045
3183,hr6171.110,hr104.111,0.5536301647552693
11804,hr6396.110,hr104.111,0.6761574799858275
5575,hr6540.110,hr104.111,0.5535815721938575
10012,hr6714.110,hr104.111,0.6374227097505553
12410,hr6808.110,hr104.111,0.5696609152133904
5349,hr7007.110,hr104.111,0.759836953631359
10832,hr7049.110,hr104.111,0.6811583990248129
2255,hr7071.110,hr104.111,0.5279314029900667
1240,hr7104.110,hr104.111,0.7978340746747852
955,hr7203.110,hr104.111,0.6482397198264622
3665,hr7206.110,hr104.111,0.5600596197946233
5413,hr7258.110,hr104.111,0.5524628393736754
7328,hr7275.110,hr104.111,0.811845349419225
11477,hr1040.110,hr1040.111,0.9984750145705186
1061,hr3818.110,hr1040.111,0.6000386415184982
6619,hr4159.110,hr1040.111,0.5992263402194765
1858,hr2543.110,hr1042.111,0.5071661448083028
7213,hr3473.110,hr1043.111,0.5164278260818816
291,hr6159.110,hr1043.111,0.7637419562091244
8013,hr3111.110,hr1044.111,0.9632349916872607
4214,hr733.110,hr1045.111,0.9840910683719839
7206,hr3477.110,hr1046.111,0.5489219136888785
3641,hr3499.110,hr1046.111,0.5553389172882028
1488,hr3691.110,hr1046.111,0.5124933175979879
10248,hr3716.110,hr1046.111,0.5166034262207133
4535,hr4261.110,hr1046.111,0.5376337792410185
1984,hr4850.110,hr1046.111,0.5174960989100179
11378,hr7026.110,hr1047.111,0.9772364971149111
5831,hr1227.110,hr1048.111,0.5534098317685171
12046,hr1235.110,hr1048.111,0.5312498686936052
8583,hr1850.110,hr1048.111,0.508574279815217
8596,hr1851.110,hr1048.111,0.6009799202638189
11281,hr1980.110,hr1048.111,0.5097288639319577
11272,hr1982.110,hr1048.111,0.539608727675921
9239,hr2926.110,hr1048.111,0.5033064179028156
3436,hr3067.110,hr1048.111,0.6289803306721699
9812,hr3329.110,hr1048.111,0.5462162404225274
9188,hr3521.110,hr1048.111,0.853194330161051
11964,hr5829.110,hr1048.111,0.855261547689191
2318,hr6216.110,hr1048.111,0.9670588030005788
11164,hr5753.110,hr1049.111,0.9793205944651859
3295,hr1281.110,hr105.111,0.5300188079966546
569,hr1381.110,hr105.111,0.8488422467512439
7922,hr1667.110,hr105.111,0.6369889857664148
5785,hr2457.110,hr105.111,0.5690527727163103
6646,hr301.110,hr105.111,0.502878975206158
9638,hr3500.110,hr105.111,0.5298125034100223
2779,hr4145.110,hr105.111,0.5112662902368791
10772,hr4237.110,hr105.111,0.5028091565313035
1578,hr5038.110,hr105.111,0.5762149528495183
7075,hr5628.110,hr105.111,0.5280577342033632
10525,hr5946.110,hr105.111,0.5210494855095246
5811,hr6625.110,hr105.111,0.5213643001520553
9544,hr7244.110,hr105.111,0.5361366221069448
1500,hr811.110,hr105.111,0.6077937280904597
1536,hr2560.110,hr1050.111,0.6949534493510492
1543,hr2564.110,hr1050.111,0.9905254879220871
5963,hr117.110,hr1051.111,0.6882887547429009
2228,hr1177.110,hr1051.111,0.5068554905453975
9061,hr3159.110,hr1052.111,0.9559082453195941
8389,hr3178.110,hr1052.111,0.5381637444028942
3572,hr16.110,hr1053.111,0.6341470112115126
5180,hr1766.110,hr1053.111,0.5149633065666049
2634,hr6550.110,hr1053.111,0.6751037508699183
9606,hr6771.110,hr1053.111,0.958593291499449
9972,hr2327.110,hr1054.111,0.8358275134255808
8235,hr6936.110,hr1054.111,0.8674418109853179
6633,hr7171.110,hr1054.111,0.8510375835632498
9971,hr2327.110,hr1055.111,0.7994109326946809
8234,hr6936.110,hr1055.111,0.8637291456040699
6632,hr7171.110,hr1055.111,0.9340629119000251
4999,hr1037.110,hr1056.111,0.997033964528779
1119,hr2507.110,hr1058.111,0.9502244995669946
6355,hr2479.110,hr1059.111,0.5484111380994414
5052,hr3969.110,hr1059.111,0.5171097481833269
11695,hr4689.110,hr1059.111,0.630191931969368
1476,hr6641.110,hr1059.111,0.5573120655499316
3787,hr6852.110,hr1059.111,0.5680075109593089
2050,hr6900.110,hr1059.111,0.5536922632579029
10093,hr751.110,hr1059.111,0.5308141310140977
3904,hr193.110,hr106.111,0.6641061627205646
5766,hr2458.110,hr106.111,0.7651334421820114
9660,hr2902.110,hr106.111,0.7145647136048325
10577,hr3483.110,hr106.111,0.6010223978570703
1364,hr5996.110,hr106.111,0.531478838523118
2932,hr7019.110,hr106.111,0.6990046650438162
6107,hr2863.110,hr1061.111,0.5798693406696941
1682,hr2952.110,hr1061.111,0.535461770786086
2262,hr7073.110,hr1061.111,0.8387667413524225
7217,hr5656.110,hr1063.111,0.5552330846978829
10989,hr1069.110,hr1064.111,0.5137232202528176
1436,hr1692.110,hr1064.111,0.5055927438629259
8785,hr3547.110,hr1064.111,0.5353024078867737
6797,hr3846.110,hr1064.111,0.9515417321352779
4115,hr3922.110,hr1064.111,0.5454591183798463
11242,hr1276.110,hr1065.111,0.5979557630958775
8711,hr4841.110,hr1065.111,0.5836201117787914
9170,hr3528.110,hr1066.111,0.5913099919279831
4560,hr3764.110,hr1066.111,0.7442170067171957
11978,hr5535.110,hr1066.111,0.819055211571641
3777,hr808.110,hr1066.111,0.5068087189930482
5445,hr288.110,hr1067.111,0.8077136705403108
5102,hr368.110,hr1067.111,0.9829456943689546
840,hr7125.110,hr1068.111,0.7368714828630943
2149,hr2212.110,hr1069.111,0.759819131494869
12445,hr4181.110,hr107.111,0.9986289181427311
12180,hr6110.110,hr107.111,0.5124082113128009
827,hr7123.110,hr1070.111,0.7554860925761652
7301,hr3510.110,hr1071.111,0.9385155780835684
7910,hr3802.110,hr1071.111,0.5113132474751445
8662,hr1146.110,hr1072.111,0.5043388554037835
5061,hr7272.110,hr1073.111,0.5491610198274114
1080,hr6664.110,hr1074.111,0.5315184478160176
1739,hr96.110,hr1074.111,0.6099699508269053
3595,hr4915.110,hr1075.111,0.5672196863544948
7681,hr6945.110,hr1075.111,0.9401893687678005
1756,hr837.110,hr1076.111,0.8309864959376394
5047,hr3968.110,hr1077.111,0.9580510508441183
12218,hr6693.110,hr1078.111,0.9970625846191153
9338,hr6567.110,hr1079.111,0.9965792074788814
1387,hr1477.110,hr108.111,0.9825359841463526
6717,hr2495.110,hr108.111,0.9593454004565181
5289,hr4071.110,hr108.111,0.7667158430992859
4328,hr2993.110,hr1082.111,0.7738976287049179
7754,hr5267.110,hr1083.111,0.9805947088850058
9144,hr6209.110,hr1084.111,0.6877031500918115
3077,hr5918.110,hr1085.111,0.5447620670439302
2304,hr6210.110,hr1085.111,0.5422617643282799
10219,hr6528.110,hr1085.111,0.978229670207894
859,hr7129.110,hr1085.111,0.5133586651161812
2717,hr2580.110,hr1086.111,0.9960216940238105
3499,hr2626.110,hr1086.111,0.6787561048165766
9652,hr3509.110,hr1086.111,0.5549659574306495
6061,hr5480.110,hr1086.111,0.9340054244933722
3999,hr5955.110,hr1086.111,0.5501649372031576
10439,hr1952.110,hr1087.111,0.5746610728358594
4455,hr2377.110,hr1087.111,0.9002376961509398
217,hr2351.110,hr109.111,0.5129293832438847
3512,hr2626.110,hr109.111,0.5221016395151961
4952,hr4460.110,hr109.111,0.521324360225839
4013,hr5955.110,hr109.111,0.5428378609548039
7166,hr6280.110,hr109.111,0.9920968542683021
5224,hr5785.110,hr1090.111,0.7320496497247289
5225,hr5786.110,hr1090.111,0.5946423404134397
12027,hr5798.110,hr1090.111,0.7168010446029601
3104,hr1346.110,hr1091.111,0.9398340216289368
4790,hr152.110,hr1092.111,0.5232354634501654
9367,hr2047.110,hr1092.111,0.5139486596266896
212,hr2351.110,hr1092.111,0.5330897333744805
4849,hr2833.110,hr1092.111,0.6675510314822565
5466,hr2842.110,hr1092.111,0.6364266833897468
8401,hr3176.110,hr1092.111,0.5013688554702767
5978,hr3888.110,hr1092.111,0.5661469767415359
4947,hr4460.110,hr1092.111,0.5640118249793197
6989,hr5449.110,hr1092.111,0.9900462218455303
3068,hr5918.110,hr1092.111,0.5297216659124426
10130,hr5923.110,hr1092.111,0.5494362876342501
4007,hr5955.110,hr1092.111,0.5415045086315128
11070,hr6071.110,hr1092.111,0.5701141858155792
2295,hr6210.110,hr1092.111,0.5287807246309113
2451,hr6963.110,hr1092.111,0.5819903797971049
848,hr7129.110,hr1092.111,0.538651802341028
11446,hr979.110,hr1092.111,0.5121097385423383
9573,hr7285.110,hr1093.111,0.864114273768597
3228,hr5704.110,hr1094.111,0.9454121915001119
6447,hr138.110,hr1096.111,0.7779414212113087
3563,hr19.110,hr1096.111,0.5131612286245976
2177,hr1951.110,hr1096.111,0.5547942700690596
4642,hr2413.110,hr1096.111,0.6928305502203438
12029,hr2954.110,hr1096.111,0.5023055263597063
11666,hr4065.110,hr1096.111,0.5081290856144105
440,hr6454.110,hr1096.111,0.6132522665103778
11636,hr6782.110,hr1096.111,0.9969877229864308
1744,hr98.110,hr1096.111,0.5267956379733056
1367,hr5991.110,hr1097.111,0.9012806464191159
8024,hr6099.110,hr1099.111,0.9441451853952809
8942,hr1338.110,hr11.111,0.8491118884416721
3686,hr2019.110,hr11.111,0.5732460080205141
683,hr2831.110,hr11.111,0.7186312416879559
1537,hr2560.110,hr110.111,0.696091424211731
1544,hr2564.110,hr110.111,0.9921676150637782
7619,hr5428.110,hr1100.111,0.8379245013745314
8006,hr864.110,hr1101.111,0.991684622800305
9297,hr627.110,hr1102.111,0.9442458982934236
2102,hr1306.110,hr1103.111,0.8791717043145634
8054,hr2575.110,hr1104.111,0.9878443181413638
9097,hr2206.110,hr1105.111,0.6114638091277937
10476,hr2638.110,hr1105.111,0.6556907319958781
3021,hr2641.110,hr1105.111,0.6421390195159574
3027,hr2642.110,hr1105.111,0.5874101322408863
3032,hr2643.110,hr1105.111,0.7456083288615103
499,hr2764.110,hr1105.111,0.7170750251827065
6933,hr2829.110,hr1105.111,0.79482081342762
2870,hr3043.110,hr1105.111,0.7091126357430568
10045,hr3074.110,hr1105.111,0.7500359618480802
12204,hr3093.110,hr1105.111,0.7606686457725911
10562,hr3161.110,hr1105.111,0.7076506311389683
4813,hr3222.110,hr1105.111,0.5124166563555964
1197,hr4104.110,hr1105.111,0.5721018442892631
5698,hr6599.110,hr1105.111,0.5788245140441964
3288,hr1752.110,hr1106.111,0.6448524169936496
8633,hr1852.110,hr1106.111,0.6790153802754084
6352,hr2475.110,hr1106.111,0.5034161981897876
9404,hr2599.110,hr1106.111,0.5999274883447357
10396,hr3012.110,hr1106.111,0.5372744952772694
6544,hr3609.110,hr1106.111,0.525726920504474
11512,hr3778.110,hr1106.111,0.5505680085942893
11492,hr3915.110,hr1106.111,0.5781823583171726
7092,hr4178.110,hr1106.111,0.5066640972600599
525,hr5153.110,hr1106.111,0.5333932285558125
9320,hr5830.110,hr1106.111,0.6051394692819839
4053,hr5958.110,hr1106.111,0.5031365688990422
8972,hr7328.110,hr1106.111,0.5216187756300356
2524,hr1362.110,hr1107.111,0.6100169045238747
10333,hr4779.110,hr1107.111,0.9927896766984773
5129,hr2784.110,hr1108.111,0.644088192143938
3202,hr6.110,hr1108.111,0.5766159974115851
5869,hr6001.110,hr1108.111,0.7123961220565556
2649,hr6009.110,hr1108.111,0.5899349121722008
6052,hr6108.110,hr1108.111,0.8228001145972197
814,hr6165.110,hr1108.111,0.7375133155699479
1668,hr6251.110,hr1108.111,0.5313775019757286
5744,hr6301.110,hr1108.111,0.8251244353183772
9978,hr6379.110,hr1108.111,0.5936918224513437
1006,hr6384.110,hr1108.111,0.8078372967049202
2577,hr6397.110,hr1108.111,0.5081520873091112
1293,hr6418.110,hr1108.111,0.5549355882324508
3580,hr6421.110,hr1108.111,0.6932374112080524
6150,hr6428.110,hr1108.111,0.9964771931865926
10204,hr6529.110,hr1108.111,0.6905222801848322
9343,hr6566.110,hr1108.111,0.7912630646555467
5714,hr6593.110,hr1108.111,0.5670405310197053
7975,hr6670.110,hr1108.111,0.5808873440869297
3859,hr6724.110,hr1108.111,0.5345208046645286
10355,hr6735.110,hr1108.111,0.5633198824692284
9595,hr6779.110,hr1108.111,0.8243971353370274
5115,hr6860.110,hr1108.111,0.5209236916344616
3420,hr7030.110,hr1108.111,0.5267603393801839
7281,hr777.110,hr1108.111,0.5064275240538438
5601,hr1011.110,hr1109.111,0.645949089318151
8658,hr2334.110,hr1109.111,0.5668444012024005
10509,hr2632.110,hr1109.111,0.5539060858914625
4416,hr3022.110,hr1109.111,0.5421533532850056
3387,hr3287.110,hr1109.111,0.6088158739536147
2858,hr3513.110,hr1109.111,0.574312699710538
8524,hr3682.110,hr1109.111,0.5847354355384051
11127,hr3756.110,hr1109.111,0.6170538582137344
522,hr5151.110,hr1109.111,0.9887993349156748
12865,hr5610.110,hr1109.111,0.7151825758030114
1922,hr6156.110,hr1109.111,0.6301071398605368
8901,hr6917.110,hr1109.111,0.5073405608977539
5804,hr707.110,hr1109.111,0.5588090207408537
7960,hr860.110,hr1109.111,0.6236083825055955
6244,hr886.110,hr1109.111,0.5550498524062222
5956,hr111.110,hr111.111,0.981506425686526
9697,hr251.110,hr1110.111,0.6077505402936983
12657,hr740.110,hr1110.111,0.9251184655047193
10037,hr3072.110,hr1111.111,0.5203861178937573
8232,hr5216.110,hr1111.111,0.9740669307704243
4118,hr2039.110,hr1112.111,0.8163630747618483
1120,hr2505.110,hr1112.111,0.6774758951962683
8928,hr604.110,hr1112.111,0.9664211616187199
10347,hr6734.110,hr1112.111,0.6869208079737835
5229,hr7064.110,hr1112.111,0.511092472497216
1157,hr825.110,hr1112.111,0.5434467365947515
8270,hr86.110,hr1112.111,0.5182531038082454
12265,hr2148.110,hr1113.111,0.8759092220872026
10921,hr2346.110,hr1114.111,0.9635048106993417
8808,hr5238.110,hr1115.111,0.8304103911562242
832,hr7126.110,hr1116.111,0.5734178946919579
7685,hr7130.110,hr1117.111,0.9907013327206828
12655,hr749.110,hr1118.111,0.9841614191466893
4169,hr5565.110,hr1119.111,0.567087357561132
5502,hr5643.110,hr1119.111,0.8360296194570291
12316,hr5670.110,hr1119.111,0.576211103383576
10947,hr5962.110,hr1119.111,0.5203399324802307
4482,hr5974.110,hr1119.111,0.608840993586965
91,hr6181.110,hr1119.111,0.7440561322696904
8990,hr7325.110,hr1119.111,0.5784964366661638
4454,hr2374.110,hr112.111,0.9738842666797523
10891,hr236.110,hr1120.111,0.5284674730342452
1350,hr2614.110,hr1120.111,0.5080547871353556
8920,hr609.110,hr1120.111,0.9202023807995628
11704,hr7261.110,hr1121.111,0.9722065790076927
3285,hr1752.110,hr1123.111,0.5484702653626147
8630,hr1852.110,hr1123.111,0.6201914737985993
9401,hr2599.110,hr1123.111,0.6584564951316986
9987,hr3296.110,hr1123.111,0.506721847807639
11383,hr3587.110,hr1123.111,0.5469262271014768
1052,hr3813.110,hr1123.111,0.5075629582433677
11091,hr6076.110,hr1123.111,0.5828596107572569
12196,hr6116.110,hr1123.111,0.6465450369775407
772,hr996.110,hr1124.111,0.9782807804947947
1384,hr1476.110,hr1125.111,0.5749358293363764
4884,hr3597.110,hr1125.111,0.517635382726837
5082,hr3784.110,hr1125.111,0.9160806484917632
9481,hr4082.110,hr1125.111,0.5750708626431669
12026,hr5799.110,hr1125.111,0.5510865187681654
842,hr7128.110,hr1125.111,0.5713004373815835
6430,hr1524.110,hr1126.111,0.9821480075284067
8193,hr1743.110,hr1128.111,0.9915240208968954
5623,hr3944.110,hr1128.111,0.5581593633639148
6701,hr6685.110,hr1129.111,0.8211839447954398
8173,hr6881.110,hr113.111,0.9798769920958407
11691,hr4689.110,hr1130.111,0.5029233788347459
2756,hr6750.110,hr1130.111,0.9680071659783626
3783,hr6852.110,hr1130.111,0.5929489061073799
6736,hr1805.110,hr1131.111,0.5693975923073094
6356,hr2479.110,hr1131.111,0.5481799926884066
5053,hr3969.110,hr1131.111,0.6255036702047297
11696,hr4689.110,hr1131.111,0.6153795908042035
3591,hr4919.110,hr1131.111,0.5098414533224744
7379,hr6013.110,hr1131.111,0.5310507321232166
1477,hr6641.110,hr1131.111,0.5630115244251622
8363,hr6658.110,hr1131.111,0.5599890827146863
2757,hr6750.110,hr1131.111,0.5970200184937591
3788,hr6852.110,hr1131.111,0.9959119042505219
2051,hr6900.110,hr1131.111,0.5649782662737475
8859,hr7006.110,hr1131.111,0.5086823527316751
8978,hr7329.110,hr1131.111,0.5755939768398762
10094,hr751.110,hr1131.111,0.599812834001389
2590,hr1584.110,hr1132.111,0.9341042509340144
8035,hr555.110,hr1133.111,0.9972541733635413
5382,hr4690.110,hr1135.111,0.8969270023997511
4199,hr6747.110,hr1135.111,0.8924892153971079
1899,hr1843.110,hr1136.111,0.7262468735699087
8814,hr5233.110,hr1136.111,0.5778925689414283
12267,hr5495.110,hr1136.111,0.5845714463793574
1897,hr1846.110,hr1137.111,0.6804008854798762
2439,hr2664.110,hr1138.111,0.9422473753459479
10747,hr1700.110,hr1139.111,0.9740824870540732
11410,hr2366.110,hr114.111,0.5133161418171757
3778,hr6850.110,hr114.111,0.8843175841199977
11317,hr2984.110,hr1140.111,0.9130667590599413
2538,hr1364.110,hr1141.111,0.9612136891263912
3536,hr5936.110,hr1142.111,0.9900290375534279
6056,hr6108.110,hr1143.111,0.5186617344899299
5749,hr6301.110,hr1143.111,0.5372932283919796
1012,hr6384.110,hr1143.111,0.5206229396417065
1298,hr6418.110,hr1143.111,0.6973888217949703
6157,hr6428.110,hr1143.111,0.5198976966487694
10211,hr6529.110,hr1143.111,0.562779617712693
9349,hr6566.110,hr1143.111,0.5076094733653471
11628,hr6781.110,hr1143.111,0.5540531910424523
1588,hr1867.110,hr1144.111,0.5336736543234147
2688,hr2272.110,hr1144.111,0.5661102643254374
7367,hr3514.110,hr1144.111,0.6164165454902786
5096,hr363.110,hr1144.111,0.5447719369087303
1105,hr524.110,hr1144.111,0.5078622542899783
7721,hr6263.110,hr1144.111,0.9889521765233493
2180,hr6314.110,hr1144.111,0.9924738891520408
12481,hr3957.110,hr1145.111,0.6608712528251904
10033,hr4571.110,hr1145.111,0.5020111895067492
877,hr6297.110,hr1145.111,0.5926066400270852
11633,hr6997.110,hr1145.111,0.8438586513618221
8661,hr1146.110,hr1146.111,0.9992761527887607
459,hr2712.110,hr1146.111,0.5583889236116798
6572,hr2802.110,hr1147.111,0.6560330606042718
6720,hr2490.110,hr1148.111,0.8455496821796172
