113,112,similarity
hr1108.113,hr5968.112,0.524410449
hr1110.113,hr1100.112,0.763912049
hr112.113,hr4061.112,0.528739854
hr112.113,hr6703.112,0.883357575
hr1121.113,hr3010.112,0.527838114
hr1121.113,hr6183.112,0.844510682
hr1122.113,hr6173.112,0.709096166
hr1124.113,hr5976.112,0.727053175
hr1127.113,hr1366.112,0.64793363
hr1127.113,hr5865.112,0.520843397
hr1128.113,hr4125.112,0.523645863
hr1129.113,hr1864.112,0.876178293
hr113.113,hr1616.112,0.789577415
hr1130.113,hr4133.112,0.507873322
hr1130.113,hr4229.112,0.764387165
hr1131.113,hr6488.112,0.743364306
hr1132.113,hr3245.112,0.817432279
hr1133.113,hr775.112,0.585493001
hr1134.113,hr1298.112,0.549687746
hr1134.113,hr1318.112,0.519151952
hr1134.113,hr1854.112,0.637780594
hr1134.113,hr240.112,0.529563045
hr1134.113,hr2470.112,0.523870366
hr1134.113,hr3016.112,0.510994089
hr1134.113,hr3723.112,0.623435734
hr1134.113,hr4042.112,0.562471031
hr1134.113,hr6372.112,0.552768641
hr1134.113,hr6455.112,0.535481389
hr1134.113,hr6527.112,0.535818085
hr1134.113,hr6563.112,0.546868001
hr1134.113,hr809.112,0.543160903
hr1134.113,hr814.112,0.540833604
hr1134.113,hr837.112,0.596082073
hr1135.113,hr1062.112,0.583380725
hr1136.113,hr3528.112,0.645345184
hr1137.113,hr1917.112,0.864547924
hr1138.113,hr4185.112,0.788299492
hr1139.113,hr3983.112,0.711486772
hr114.113,hr3715.112,0.871705082
hr114.113,hr4297.112,0.52388368
hr1141.113,hr987.112,0.611074001
hr1142.113,hr647.112,0.757345332
hr1145.113,hr1977.112,0.547178063
hr1145.113,hr4264.112,0.707325857
hr1146.113,hr2104.112,0.766916507
hr1147.113,hr1210.112,0.803670032
hr1148.113,hr3032.112,0.732443186
hr1149.113,hr4342.112,0.860021534
hr115.113,hr3714.112,0.765617377
hr1150.113,hr965.112,0.745757027
hr1154.113,hr1204.112,0.519969881
hr1155.113,hr1112.112,0.872887472
hr1156.113,hr2352.112,0.860175292
hr1157.113,hr2719.112,0.786540191
hr1158.113,hr2351.112,0.754974144
hr1159.113,hr3397.112,0.841056375
hr1159.113,hr4019.112,0.726839466
hr116.113,hr1200.112,0.533126448
hr116.113,hr1409.112,0.542145125
hr116.113,hr2954.112,0.506971713
hr116.113,hr3386.112,0.808285004
hr1160.113,hr867.112,0.858006222
hr1161.113,hr6026.112,0.712938522
hr1163.113,hr1136.112,0.688194607
hr1163.113,hr4257.112,0.875809024
hr1163.113,hr4263.112,0.595635836
hr1164.113,hr1471.112,0.529194048
hr1164.113,hr3002.112,0.554320589
hr1164.113,hr339.112,0.657534227
hr1164.113,hr3583.112,0.84293095
hr1165.113,hr2983.112,0.581705131
hr1165.113,hr3410.112,0.536953453
hr1165.113,hr903.112,0.788547314
hr1166.113,hr3742.112,0.737824492
hr1167.113,hr6184.112,0.714062372
hr1168.113,hr4039.112,0.591229887
hr1168.113,hr6236.112,0.666704871
hr1168.113,hr6282.112,0.784620741
hr1169.113,hr6596.112,0.685734555
hr1170.113,hr4039.112,0.566707559
hr1170.113,hr6236.112,0.791693302
hr1170.113,hr6282.112,0.638151895
hr1172.113,hr2001.112,0.832922976
hr1173.113,hr1200.112,0.521048125
hr1173.113,hr1589.112,0.875987182
hr1174.113,hr4180.112,0.731395903
hr1176.113,hr182.112,0.563271042
hr1176.113,hr2015.112,0.560308376
hr1176.113,hr2506.112,0.533127868
hr1176.113,hr3095.112,0.615535048
hr1176.113,hr4291.112,0.577673187
hr1176.113,hr6263.112,0.546017705
hr1176.113,hr6539.112,0.505074813
hr1176.113,hr720.112,0.504123016
hr1176.113,hr744.112,0.56457081
hr1176.113,hr779.112,0.511764116
hr1179.113,hr1543.112,0.739717717
hr118.113,hr135.112,0.703787516
hr118.113,hr289.112,0.711368909
hr1180.113,hr2224.112,0.616931126
hr1180.113,hr6352.112,0.832345884
hr1180.113,hr6562.112,0.870660576
hr1182.113,hr3652.112,0.530286958
hr1183.113,hr1989.112,0.841098503
hr1185.113,hr425.112,0.642764355
hr1187.113,hr163.112,0.527405701
hr1187.113,hr1701.112,0.537375831
hr1187.113,hr2420.112,0.540711536
hr1187.113,hr2922.112,0.539055031
hr1187.113,hr3334.112,0.92240564
hr1187.113,hr4109.112,0.506107767
hr1187.113,hr4267.112,0.533301967
hr1188.113,hr1409.112,0.539411076
hr1188.113,hr1839.112,0.719847736
hr1188.113,hr1946.112,0.731944908
hr119.113,hr134.112,0.605313855
hr1190.113,hr3900.112,0.52312015
hr1190.113,hr4325.112,0.897577248
hr1190.113,hr5745.112,0.509344991
hr1191.113,hr4025.112,0.743474387
hr1193.113,hr1209.112,0.551353308
hr1193.113,hr6203.112,0.855767912
hr1194.113,hr1026.112,0.612061562
hr1194.113,hr1309.112,0.625134735
hr1194.113,hr1430.112,0.544827763
hr1194.113,hr1453.112,0.532675392
hr1194.113,hr435.112,0.729691046
hr1194.113,hr5652.112,0.630811141
hr1194.113,hr5740.112,0.60477734
hr1194.113,hr700.112,0.526723229
hr1195.113,hr6422.112,0.801959897
hr1196.113,hr3002.112,0.827966737
hr1196.113,hr3583.112,0.505318289
hr1196.113,hr980.112,0.832291467
hr1199.113,hr1648.112,0.696858579
hr1199.113,hr975.112,0.535550497
hr12.113,hr108.112,0.685978197
hr12.113,hr109.112,0.685971758
hr12.113,hr3163.112,0.563342947
hr12.113,hr5799.112,0.76862635
hr12.113,hr5816.112,0.577307172
hr12.113,hr6632.112,0.663770889
hr120.113,hr132.112,0.697411037
hr1200.113,hr105.112,0.515057593
hr1200.113,hr1200.112,0.852534135
hr1200.113,hr1409.112,0.523250645
hr1200.113,hr2954.112,0.589099602
hr1200.113,hr3000.112,0.52512241
hr1201.113,hr2224.112,0.59994371
hr1201.113,hr6352.112,0.799391019
hr1201.113,hr6562.112,0.730934772
hr1202.113,hr1605.112,0.516755935
hr1202.113,hr1848.112,0.673809774
hr1202.113,hr2041.112,0.517372663
hr1203.113,hr727.112,0.777167318
hr1204.113,hr1447.112,0.723108998
hr1204.113,hr3011.112,0.544054129
hr1205.113,hr105.112,0.587511081
hr1205.113,hr3000.112,0.59048535
hr1205.113,hr3299.112,0.507520301
hr1205.113,hr364.112,0.554792041
hr1205.113,hr3682.112,0.566885678
hr1205.113,hr397.112,0.543200002
hr1205.113,hr4242.112,0.539041598
hr1206.113,hr3117.112,0.809914626
hr1207.113,hr354.112,0.658617088
hr1207.113,hr794.112,0.727021412
hr1208.113,hr5987.112,0.820358415
hr1208.113,hr624.112,0.551911066
hr121.113,hr131.112,0.597252634
hr1210.113,hr3140.112,0.827216532
hr1212.113,hr387.112,0.679649705
hr1213.113,hr6677.112,0.821699756
hr1214.113,hr4345.112,0.798836533
hr1215.113,hr1415.112,0.677889721
hr1216.113,hr1743.112,0.813780758
hr1216.113,hr1854.112,0.502327947
hr1216.113,hr6372.112,0.506162292
hr1216.113,hr837.112,0.519438543
hr1217.113,hr3459.112,0.835569521
hr1218.113,hr6495.112,0.681287022
hr122.113,hr133.112,0.789025698
hr122.113,hr1732.112,0.514407503
hr1220.113,hr6190.112,0.67927588
hr1222.113,hr3320.112,0.675612263
hr1223.113,hr363.112,0.540960272
hr1223.113,hr4740.112,0.859861907
hr1223.113,hr6366.112,0.537470131
hr1224.113,hr1027.112,0.858634519
hr1224.113,hr2503.112,0.858636133
hr1224.113,hr2580.112,0.859955212
hr1225.113,hr5992.112,0.781592332
hr1226.113,hr1599.112,0.5736454
hr1226.113,hr205.112,0.543429302
hr1226.113,hr2335.112,0.823604295
hr1226.113,hr2362.112,0.516534559
hr1226.113,hr2444.112,0.562249216
hr1226.113,hr3532.112,0.500449994
hr1226.113,hr3973.112,0.545426441
hr1226.113,hr6274.112,0.519522313
hr1227.113,hr399.112,0.701113212
hr1229.113,hr1578.112,0.629850191
hr1229.113,hr2016.112,0.581705622
hr1229.113,hr2346.112,0.514514648
hr1229.113,hr3151.112,0.607104705
hr1229.113,hr3271.112,0.837925886
hr1229.113,hr3515.112,0.579617793
hr1229.113,hr3977.112,0.606347421
hr1229.113,hr4154.112,0.528399979
hr1229.113,hr4271.112,0.676728503
hr1229.113,hr4970.112,0.672715456
hr1229.113,hr4979.112,0.549861517
hr1229.113,hr4982.112,0.676622455
hr123.113,hr1967.112,0.781638238
hr1230.113,hr1415.112,0.519546946
hr1230.113,hr752.112,0.821885739
hr1233.113,hr1144.112,0.609532799
hr1234.113,hr1144.112,0.557116993
hr1235.113,hr6244.112,0.609317379
hr1237.113,hr5926.112,0.806084442
hr1238.113,hr2996.112,0.586388199
hr1238.113,hr974.112,0.910043692
hr124.113,hr24.112,0.869231073
hr1241.113,hr2157.112,0.762923576
hr1243.113,hr2247.112,0.813554127
hr1243.113,hr2253.112,0.676551724
hr1245.113,hr6159.112,0.591273031
hr1248.113,hr141.112,0.506551205
hr1248.113,hr450.112,0.515768973
hr1248.113,hr605.112,0.577711694
hr1249.113,hr6174.112,0.780984837
hr125.113,hr5787.112,0.723581023
hr1250.113,hr6575.112,0.834548396
hr1252.113,hr1426.112,0.727073318
hr1255.113,hr1755.112,0.818237161
hr1257.113,hr2741.112,0.866254594
