9,1851,pig
53,1852,rat
94,1853,cow
93,1854,tiger
60,1855,rabbit
53,1856,dragon
109,1857,snake
142,1858,horse
77,1859,sheep
116,1860,monkey
44,1861,rooster
25,1862,dog
24,1863,pig
29,1864,rat
40,1865,cow
47,1866,tiger
73,1867,rabbit
95,1868,dragon
55,1869,snake
86,1870,horse
77,1871,sheep
54,1872,monkey
55,1873,rooster
69,1874,dog
39,1875,pig
52,1876,rat
46,1877,cow
72,1878,tiger
103,1879,rabbit
104,1880,dragon
107,1881,snake
123,1882,horse
115,1883,sheep
98,1884,monkey
109,1885,rooster
99,1886,dog
82,1887,pig
85,1888,rat
68,1889,cow
154,1890,tiger
192,1891,rabbit
183,1892,dragon
171,1893,snake
193,1894,horse
277,1895,sheep
141,1896,monkey
204,1897,rooster
241,1898,dog
222,1899,pig
385,1900,rat
296,1901,cow
279,1902,tiger
266,1903,rabbit
288,1904,dragon
192,1905,snake
185,1906,horse
180,1907,sheep
175,1908,monkey
168,1909,rooster
194,1910,dog
224,1911,pig
289,1912,rat
258,1913,cow
212,1914,tiger
238,1915,rabbit
191,1916,dragon
160,1917,snake
101,1918,horse
164,1919,sheep
186,1920,monkey
291,1921,rooster
238,1922,dog
376,1923,pig
441,1924,rat
511,1925,cow
500,1926,tiger
560,1927,rabbit
522,1928,dragon
447,1929,snake
445,1930,horse
555,1931,sheep
645,1932,monkey
465,1933,rooster
373,1934,dog
435,1935,pig
381,1936,rat
626,1937,cow
633,1938,tiger
643,1939,rabbit
526,1940,dragon
402,1941,snake
484,1942,horse
411,1943,sheep
384,1944,monkey
457,1945,rooster
473,1946,dog
445,1947,pig
377,1948,rat
486,1949,cow
943,1950,tiger
977,1951,rabbit
782,1952,dragon
752,1953,snake
656,1954,horse
733,1955,sheep
571,1956,monkey
577,1957,rooster
537,1958,dog
694,1959,pig
640,1960,rat
529,1961,cow
740,1962,tiger
789,1963,rabbit
829,1964,dragon
763,1965,snake
1049,1966,horse
942,1967,sheep
626,1968,monkey
677,1969,rooster
766,1970,dog
945,1971,pig
908,1972,rat
1003,1973,cow
820,1974,tiger
918,1975,rabbit
1010,1976,dragon
933,1977,snake
895,1978,horse
1323,1979,sheep
1484,1980,monkey
781,1981,rooster
704,1982,dog
622,1983,pig
704,1984,rat
712,1985,cow
711,1986,tiger
851,1987,rabbit
836,1988,dragon
1095,1989,snake
983,1990,horse
714,1991,sheep
682,1992,monkey
758,1993,rooster
765,1994,dog
753,1995,pig
925,1996,rat
1081,1997,cow
1195,1998,tiger
1179,1999,rabbit
1232,2000,dragon
1077,2001,snake
938,2002,horse
1157,2003,sheep
1138,2004,monkey
1228,2005,rooster
1446,2006,dog
1795,2007,pig
1875,2008,rat
1910,2009,cow
2157,2010,tiger
2064,2011,rabbit
2461,2012,dragon
2086,2013,snake
4717,2014,horse
