date,page,words
20140826,9.0,737.0
20140827,0.0,0.0
20140828,16.0,1163.0
20140828,6.0,712.0
20140829,0.0,1276.0
20140830,8.0,957.0
20140830,0.0,519.0
20140831,8.0,1386.0
20140831,1.0,2384.0
20140901,1.0,3203.0
20140901,6.0,739.0
20140901,7.0,679.0
20140902,8.0,647.0
20140903,0.0,0.0
20140904,0.0,1206.0
20140905,13.0,497.0
20140906,4.0,1134.0
20140907,0.0,0.0
20140908,0.0,0.0
20140909,0.0,0.0
20140910,0.0,686.0
20140911,4.0,458.0
20140912,8.0,992.0
20140912,4.0,1426.0
20140913,9.0,157.0
20140914,12.0,551.0
20140915,13.0,752.0
20140915,4.0,753.0
20140916,6.0,838.0
20140917,0.0,588.0
20140918,0.0,0.0
20140919,0.0,160.0
20140920,0.0,826.0
20140921,0.0,0.0
20140922,0.0,0.0
20140923,17.0,35.0
20140924,0.0,0.0
20140925,0.0,0.0
20140926,0.0,702.0
20140927,11.0,960.0
20140928,14.0,812.0
20140929,0.0,0.0
20140930,0.0,0.0
20141001,0.0,0.0
20141002,0.0,0.0
20141003,8.0,627.0
20141004,0.0,0.0
20141005,0.0,0.0
20141006,15.0,330.0
20141007,0.0,0.0
20141008,1.0,1344.0
20141008,10.0,1348.0
20141009,15.0,631.0
20141009,6.0,533.0
20141010,0.0,0.0
20141011,10.0,1018.0
20141011,21.0,936.0
20141012,0.0,0.0
20141013,0.0,0.0
20141014,0.0,0.0
20141015,0.0,0.0
20141016,0.0,0.0
20141017,0.0,0.0
20141018,0.0,0.0
20141019,21.0,974.0
20141020,10.0,1423.0
20141020,1.0,1496.0
20141021,10.0,657.0
20141022,0.0,0.0
20141023,0.0,0.0
20141024,0.0,0.0
20141025,11.0,255.0
20141026,0.0,0.0
20141027,3.0,790.0
20141028,0.0,0.0
20141029,0.0,0.0
20141030,0.0,0.0
20141031,0.0,651.0
20141031,4.0,948.0
20141101,0.0,0.0
20141102,14.0,571.0
20141103,0.0,0.0
20141104,0.0,0.0
20141105,0.0,0.0
20141106,8.0,637.0
20141107,6.0,721.0
20141107,8.0,1042.0
20141108,0.0,0.0
20141109,1.0,1308.0
20141109,1.0,3321.0
20141110,0.0,1363.0
20141111,0.0,0.0
20141112,0.0,0.0
20141113,17.0,702.0
20141113,10.0,794.0
20141114,6.0,702.0
20141114,6.0,832.0
20141114,21.0,5819.0
20141115,7.0,541.0
20141116,0.0,0.0
20141117,0.0,1293.0
20141118,8.0,650.0
20141118,6.0,988.0
20141119,12.0,804.0
20141120,9.0,949.0
