year, zip, Q1, Q2, Q3, Q4, mean
2014, 11432, 82000, 82000, 82000, 82000, 82000
2014, 11433, N/A, N/A, N/A, N/A, N/A
2014, 11434, N/A, N/A, N/A, N/A, N/A
2014, 11435, 107000, 107000, 107000, 107000, 107000
2014, 11436, N/A, N/A, N/A, N/A, N/A
2014, 11101, 462850, 462850, 462850, 462850, 462850
2014, 11102, 325000, 325000, 325000, 325000, 325000
2014, 11103, N/A, N/A, N/A, N/A, N/A
2014, 11104, 238444, 238444, 238444, 238444, 238444
2014, 11105, 344000, 344000, 344000, 344000, 344000
2014, 11106, 299000, 299000, 299000, 299000, 299000
2014, 11374, 135000, 135000, 135000, 135000, 135000
2014, 11375, 135000, 135000, 135000, 135000, 135000
2014, 11379, N/A, N/A, N/A, N/A, N/A
2014, 11385, 679000, 679000, 679000, 679000, 679000
2014, 11691, N/A, N/A, N/A, N/A, N/A
2014, 11692, N/A, N/A, N/A, N/A, N/A
2014, 11693, 228000, 228000, 228000, 228000, 228000
2014, 11694, N/A, N/A, N/A, N/A, N/A
2014, 11695, N/A, N/A, N/A, N/A, N/A
2014, 11697, N/A, N/A, N/A, N/A, N/A
2014, 11004, N/A, N/A, N/A, N/A, N/A
2014, 11005, 487500, 487500, 487500, 487500, 487500
2014, 11411, N/A, N/A, N/A, N/A, N/A
2014, 11413, N/A, N/A, N/A, N/A, N/A
2014, 11422, N/A, N/A, N/A, N/A, N/A
2014, 11426, 875000, 875000, 875000, 875000, 875000
2014, 11427, N/A, N/A, N/A, N/A, N/A
2014, 11428, N/A, N/A, N/A, N/A, N/A
2014, 11429, 799000, 799000, 799000, 799000, 799000
2014, 11414, 4390000, 4390000, 4390000, 4390000, 4390000
2014, 11415, 136250, 136250, 136250, 136250, 136250
2014, 11416, 150000, 150000, 150000, 150000, 150000
2014, 11417, 3800, 3800, 3800, 3800, 3800
2014, 11418, 419000, 419000, 419000, 419000, 419000
2014, 11419, 169000, 169000, 169000, 169000, 169000
2014, 11420, 3200, 3200, 3200, 3200, 3200
