Year, Quarter, Zip_Code, Price
2009, 1, 10453, 500000
2009, 1, 10457, 950000
2009, 1, 10460, 0
2009, 1, 10458, 1300000
2009, 1, 10467, 159000
2009, 1, 10468, 345000
2009, 1, 10451, 120000
2009, 1, 10452, 0
2009, 1, 10456, 325000
2009, 1, 10454, 695000
2009, 1, 10455, 0
2009, 1, 10459, 665000
2009, 1, 10474, 2175000
2009, 1, 10463, 140000
2009, 1, 10471, 285000
2009, 1, 10466, 629900
2009, 1, 10469, 440000
2009, 1, 10470, 79450
2009, 1, 10475, 0
2009, 1, 10461, 737450
2009, 1, 10462, 147500
2009, 1, 10464, 0
2009, 1, 10465, 499000
2009, 1, 10472, 479000
2009, 1, 10473, 462000
2009, 1, 11212, 587500
2009, 1, 11213, 700000
2009, 1, 11216, 729000
2009, 1, 11233, 679000
2009, 1, 11238, 699000
2009, 1, 11209, 179500
2009, 1, 11214, 862000
2009, 1, 11228, 733500
2009, 1, 11204, 0
2009, 1, 11218, 399000
2009, 1, 11219, 1087500
2009, 1, 11230, 279250
2009, 1, 11234, 110000
2009, 1, 11236, 420000
2009, 1, 11239, 0
2009, 1, 11223, 1225000
2009, 1, 11224, 0
2009, 1, 11229, 599000
2009, 1, 11235, 332153
2009, 1, 11201, 357000
2009, 1, 11205, 875000
2009, 1, 11215, 475000
2009, 1, 11217, 495000
2009, 1, 11231, 1300000
2009, 1, 11203, 115750
2009, 1, 11210, 749000
2009, 1, 11225, 729000
2009, 1, 11226, 1099500
2009, 1, 11207, 569000
2009, 1, 11208, 399000
2009, 1, 11211, 495495
2009, 1, 11222, 387000
2009, 1, 11220, 849000
2009, 1, 11232, 899000
2009, 1, 11206, 669500
2009, 1, 11221, 595000
2009, 1, 11237, 650000
2009, 1, 10026, 1412500
2009, 1, 10027, 1057000
2009, 1, 10030, 1975000
2009, 1, 10037, 135000
2009, 1, 10039, 269000
2009, 1, 10001, 549000
2009, 1, 10011, 525000
2009, 1, 10018, 742000
2009, 1, 10019, 535000
2009, 1, 10020, 529000
2009, 1, 10036, 600000
2009, 1, 10029, 1900000
2009, 1, 10035, 1019400
2009, 1, 10010, 450000
2009, 1, 10016, 404500
2009, 1, 10017, 315000
2009, 1, 10022, 419000
2009, 1, 10012, 475000
2009, 1, 10013, 1100000
2009, 1, 10014, 499000
2009, 1, 10004, 630000
2009, 1, 10005, 740500
2009, 1, 10006, 595000
2009, 1, 10007, 895000
2009, 1, 10038, 565000
2009, 1, 10280, 575000
2009, 1, 10002, 3550000
2009, 1, 10003, 475000
2009, 1, 10009, 499000
2009, 1, 10021, 415000
2009, 1, 10028, 399000
2009, 1, 10044, 479450
2009, 1, 10128, 390000
2009, 1, 10023, 399000
2009, 1, 10024, 530000
2009, 1, 10025, 442000
2009, 1, 10031, 795000
2009, 1, 10032, 649000
2009, 1, 10033, 314000
2009, 1, 10034, 198000
2009, 1, 10040, 195000
2009, 1, 11361, 235333
2009, 1, 11362, 563500
2009, 1, 11363, 139900
2009, 1, 11364, 139000
2009, 1, 11354, 109500
2009, 1, 11355, 395000
2009, 1, 11356, 360000
2009, 1, 11357, 875000
2009, 1, 11358, 1124000
2009, 1, 11359, 0
2009, 1, 11360, 323500
2009, 1, 11365, 962500
2009, 1, 11366, 0
2009, 1, 11367, 264000
2009, 1, 11412, 549000
2009, 1, 11423, 398000
2009, 1, 11432, 84900
2009, 1, 11433, 140000
2009, 1, 11434, 469000
2009, 1, 11435, 175000
2009, 1, 11436, 139000
2009, 1, 11101, 567500
2009, 1, 11102, 399900
2009, 1, 11103, 229000
2009, 1, 11104, 90000
2009, 1, 11105, 420170
2009, 1, 11106, 659000
2009, 1, 11374, 129000
2009, 1, 11375, 129450
2009, 1, 11379, 1200000
2009, 1, 11385, 629000
2009, 1, 11691, 1350000
2009, 1, 11692, 0
2009, 1, 11693, 129450
2009, 1, 11694, 159000
2009, 1, 11695, 0
2009, 1, 11697, 0
2009, 1, 11004, 217400
2009, 1, 11005, 800000
2009, 1, 11411, 0
2009, 1, 11413, 399000
2009, 1, 11422, 519500
2009, 1, 11426, 712000
2009, 1, 11427, 790000
2009, 1, 11428, 330888
2009, 1, 11429, 949000
2009, 1, 11414, 849950
2009, 1, 11415, 169000
2009, 1, 11416, 579000
2009, 1, 11417, 3800
2009, 1, 11418, 389000
2009, 1, 11419, 1849500
2009, 1, 11420, 699000
2009, 1, 11421, 900000
2009, 1, 11368, 690000
2009, 1, 11369, 0
2009, 1, 11370, 529750
2009, 1, 11372, 139000
2009, 1, 11373, 199000
2009, 1, 11377, 189000
2009, 1, 11378, 689000
2009, 1, 10302, 13200000
2009, 1, 10303, 1600000
2009, 1, 10310, 269000
2009, 1, 10306, 599000
2009, 1, 10307, 0
2009, 1, 10308, 0
2009, 1, 10309, 1247000
2009, 1, 10312, 1862500
2009, 1, 10301, 899000
2009, 1, 10304, 761500
