Year, Quarter, Zip_Code, Price
2009, 1, 10305, 592750
2009, 1, 10314, 549000
2009, 2, 10453, 490000
2009, 2, 10457, 5000000
2009, 2, 10460, 575000
2009, 2, 10458, 87500
2009, 2, 10467, 103000
2009, 2, 10468, 369900
2009, 2, 10451, 122500
2009, 2, 10452, 0
2009, 2, 10456, 300000
2009, 2, 10454, 465000
2009, 2, 10455, 0
2009, 2, 10459, 750000
2009, 2, 10474, 2175000
2009, 2, 10463, 250000
2009, 2, 10471, 214000
2009, 2, 10466, 579500
2009, 2, 10469, 464000
2009, 2, 10470, 78000
2009, 2, 10475, 0
2009, 2, 10461, 895000
2009, 2, 10462, 147500
2009, 2, 10464, 0
2009, 2, 10465, 399000
2009, 2, 10472, 464500
2009, 2, 10473, 360000
2009, 2, 11212, 525000
2009, 2, 11213, 699500
2009, 2, 11216, 499000
2009, 2, 11233, 659000
2009, 2, 11238, 549000
2009, 2, 11209, 169000
2009, 2, 11214, 1100000
2009, 2, 11228, 668000
2009, 2, 11204, 129000
2009, 2, 11218, 239000
2009, 2, 11219, 899000
2009, 2, 11230, 529000
2009, 2, 11234, 110000
2009, 2, 11236, 420000
2009, 2, 11239, 0
2009, 2, 11223, 1550000
2009, 2, 11224, 729000
2009, 2, 11229, 539000
2009, 2, 11235, 328119
2009, 2, 11201, 375125
2009, 2, 11205, 700000
2009, 2, 11215, 485000
2009, 2, 11217, 475000
2009, 2, 11231, 1049000
2009, 2, 11203, 305000
2009, 2, 11210, 724000
2009, 2, 11225, 179000
2009, 2, 11226, 625000
2009, 2, 11207, 415000
2009, 2, 11208, 497000
2009, 2, 11211, 541990
2009, 2, 11222, 1199500
2009, 2, 11220, 1049000
2009, 2, 11232, 149000
2009, 2, 11206, 430000
2009, 2, 11221, 799000
2009, 2, 11237, 650000
2009, 2, 10026, 1412500
2009, 2, 10027, 1074500
2009, 2, 10030, 1500000
2009, 2, 10037, 137500
2009, 2, 10039, 249000
2009, 2, 10001, 595000
2009, 2, 10011, 485000
2009, 2, 10018, 428000
2009, 2, 10019, 499000
2009, 2, 10020, 0
2009, 2, 10036, 600000
2009, 2, 10029, 2574500
2009, 2, 10035, 1299000
2009, 2, 10010, 409000
2009, 2, 10016, 399000
2009, 2, 10017, 299000
2009, 2, 10022, 389000
2009, 2, 10012, 450000
2009, 2, 10013, 1675000
2009, 2, 10014, 489000
2009, 2, 10004, 577000
2009, 2, 10005, 752500
2009, 2, 10006, 572000
2009, 2, 10007, 895000
2009, 2, 10038, 582500
2009, 2, 10280, 590000
2009, 2, 10002, 3650000
2009, 2, 10003, 439000
2009, 2, 10009, 385000
2009, 2, 10021, 399000
2009, 2, 10028, 399000
2009, 2, 10044, 469000
2009, 2, 10128, 329000
2009, 2, 10023, 375000
2009, 2, 10024, 512499
2009, 2, 10025, 399000
2009, 2, 10031, 710000
2009, 2, 10032, 925000
2009, 2, 10033, 299000
2009, 2, 10034, 174000
2009, 2, 10040, 194250
2009, 2, 11361, 217661
2009, 2, 11362, 173777
2009, 2, 11363, 517450
2009, 2, 11364, 139000
2009, 2, 11354, 71475
2009, 2, 11355, 825000
2009, 2, 11356, 322000
2009, 2, 11357, 700000
2009, 2, 11358, 413000
2009, 2, 11359, 0
2009, 2, 11360, 295000
2009, 2, 11365, 1100000
2009, 2, 11366, 0
2009, 2, 11367, 214000
2009, 2, 11412, 549000
2009, 2, 11423, 398000
2009, 2, 11432, 85000
2009, 2, 11433, 0
2009, 2, 11434, 572500
2009, 2, 11435, 107000
2009, 2, 11436, 124500
2009, 2, 11101, 470000
2009, 2, 11102, 399900
2009, 2, 11103, 229000
2009, 2, 11104, 178888
2009, 2, 11105, 344000
2009, 2, 11106, 304000
2009, 2, 11374, 127000
2009, 2, 11375, 159900
2009, 2, 11379, 79000
2009, 2, 11385, 529200
2009, 2, 11691, 1350000
2009, 2, 11692, 0
2009, 2, 11693, 228000
2009, 2, 11694, 129500
2009, 2, 11695, 0
2009, 2, 11697, 0
2009, 2, 11004, 224900
2009, 2, 11005, 0
2009, 2, 11411, 0
2009, 2, 11413, 0
2009, 2, 11422, 189000
2009, 2, 11426, 712000
2009, 2, 11427, 0
2009, 2, 11428, 330888
2009, 2, 11429, 849000
2009, 2, 11414, 4390000
2009, 2, 11415, 136250
2009, 2, 11416, 150000
2009, 2, 11417, 3800
2009, 2, 11418, 419000
2009, 2, 11419, 1534500
2009, 2, 11420, 26100
2009, 2, 11421, 900000
2009, 2, 11368, 238000
2009, 2, 11369, 625000
2009, 2, 11370, 503370
2009, 2, 11372, 179000
2009, 2, 11373, 135000
2009, 2, 11377, 189000
2009, 2, 11378, 661944
2009, 2, 10302, 13200000
2009, 2, 10303, 475000
2009, 2, 10310, 532171
2009, 2, 10306, 509950
2009, 2, 10307, 0
2009, 2, 10308, 0
2009, 2, 10309, 1586000
2009, 2, 10312, 0
2009, 2, 10301, 629000
2009, 2, 10304, 383500
2009, 2, 10305, 699500
2009, 2, 10314, 649000
2009, 3, 10453, 500000
2009, 3, 10457, 5000000
2009, 3, 10460, 540000
2009, 3, 10458, 356250
2009, 3, 10467, 151500
2009, 3, 10468, 1210000
2009, 3, 10451, 125000
2009, 3, 10452, 0
2009, 3, 10456, 300000
2009, 3, 10454, 970000
2009, 3, 10455, 0
2009, 3, 10459, 857250
2009, 3, 10474, 0
2009, 3, 10463, 207500
2009, 3, 10471, 195000
2009, 3, 10466, 999000
2009, 3, 10469, 378500
2009, 3, 10470, 76157
2009, 3, 10475, 0
2009, 3, 10461, 650000
2009, 3, 10462, 449000
2009, 3, 10464, 0
2009, 3, 10465, 200025
2009, 3, 10472, 479000
2009, 3, 10473, 269500
2009, 3, 11212, 624500
2009, 3, 11213, 699000
2009, 3, 11216, 549000
2009, 3, 11233, 699500
2009, 3, 11238, 645000
2009, 3, 11209, 157000
2009, 3, 11214, 950000
2009, 3, 11228, 605000
2009, 3, 11204, 177000
2009, 3, 11218, 219000
2009, 3, 11219, 0
2009, 3, 11230, 614250
2009, 3, 11234, 129000
2009, 3, 11236, 469500
2009, 3, 11239, 0
2009, 3, 11223, 1700000
2009, 3, 11224, 729000
2009, 3, 11229, 272740
2009, 3, 11235, 329406
2009, 3, 11201, 385000
2009, 3, 11205, 700000
2009, 3, 11215, 475000
2009, 3, 11217, 482500
2009, 3, 11231, 1100000
2009, 3, 11203, 429000
2009, 3, 11210, 1600000
2009, 3, 11225, 134000
2009, 3, 11226, 449000
2009, 3, 11207, 485000
2009, 3, 11208, 495000
2009, 3, 11211, 480000
2009, 3, 11222, 415500
2009, 3, 11220, 1350000
2009, 3, 11232, 123500
2009, 3, 11206, 385000
2009, 3, 11221, 514250
2009, 3, 11237, 299000
2009, 3, 10026, 1200000
2009, 3, 10027, 895000
2009, 3, 10030, 1855000
2009, 3, 10037, 140000
2009, 3, 10039, 249000
2009, 3, 10001, 550000
2009, 3, 10011, 450000
2009, 3, 10018, 418000
2009, 3, 10019, 537000
2009, 3, 10020, 0
2009, 3, 10036, 633450
2009, 3, 10029, 1510000
2009, 3, 10035, 1197500
2009, 3, 10010, 434000
2009, 3, 10016, 399000
2009, 3, 10017, 299000
2009, 3, 10022, 399000
2009, 3, 10012, 599000
2009, 3, 10013, 2200000
2009, 3, 10014, 499000
2009, 3, 10004, 603500
2009, 3, 10005, 799000
2009, 3, 10006, 595000
2009, 3, 10007, 797000
2009, 3, 10038, 595000
2009, 3, 10280, 545000
2009, 3, 10002, 3900000
2009, 3, 10003, 469000
2009, 3, 10009, 599000
2009, 3, 10021, 399756
2009, 3, 10028, 357500
2009, 3, 10044, 0
2009, 3, 10128, 398500
2009, 3, 10023, 379000
2009, 3, 10024, 499000
2009, 3, 10025, 379000
2009, 3, 10031, 740000
2009, 3, 10032, 975000
2009, 3, 10033, 299000
2009, 3, 10034, 199000
2009, 3, 10040, 194250
2009, 3, 11361, 65999
2009, 3, 11362, 129000
2009, 3, 11363, 517450
2009, 3, 11364, 139000
2009, 3, 11354, 0
2009, 3, 11355, 0
2009, 3, 11356, 0
2009, 3, 11357, 0
2009, 3, 11358, 749000
2009, 3, 11359, 0
2009, 3, 11360, 0
2009, 3, 11365, 695000
2009, 3, 11366, 0
2009, 3, 11367, 198944
2009, 3, 11412, 0
2009, 3, 11423, 200000
2009, 3, 11432, 82000
2009, 3, 11433, 0
2009, 3, 11434, 0
2009, 3, 11435, 107000
2009, 3, 11436, 0
2009, 3, 11101, 462850
2009, 3, 11102, 325000
2009, 3, 11103, 0
2009, 3, 11104, 238444
2009, 3, 11105, 344000
2009, 3, 11106, 299000
2009, 3, 11374, 135000
2009, 3, 11375, 135000
2009, 3, 11379, 0
2009, 3, 11385, 679000
2009, 3, 11691, 0
2009, 3, 11692, 0
2009, 3, 11693, 228000
2009, 3, 11694, 0
2009, 3, 11695, 0
2009, 3, 11697, 0
2009, 3, 11004, 0
2009, 3, 11005, 487500
2009, 3, 11411, 0
2009, 3, 11413, 0
2009, 3, 11422, 0
2009, 3, 11426, 875000
2009, 3, 11427, 0
2009, 3, 11428, 0
2009, 3, 11429, 799000
2009, 3, 11414, 4390000
2009, 3, 11415, 136250
2009, 3, 11416, 150000
2009, 3, 11417, 3800
2009, 3, 11418, 419000
2009, 3, 11419, 169000
2009, 3, 11420, 3200
2009, 3, 11421, 450700
2009, 3, 11368, 219000
2009, 3, 11369, 0
2009, 3, 11370, 503370
2009, 3, 11372, 154450
2009, 3, 11373, 275000
2009, 3, 11377, 139000
2009, 3, 11378, 661944
2009, 3, 10302, 25000000
2009, 3, 10303, 475000
2009, 3, 10310, 139000
2009, 3, 10306, 324950
2009, 3, 10307, 0
2009, 3, 10308, 0
2009, 3, 10309, 0
2009, 3, 10312, 0
2009, 3, 10301, 1499999
2009, 3, 10304, 469000
2009, 3, 10305, 1247000
2009, 3, 10314, 574000
2009, 4, 10453, 500000
2009, 4, 10457, 5000000
2009, 4, 10460, 540000
2009, 4, 10458, 356250
2009, 4, 10467, 151500
2009, 4, 10468, 1210000
2009, 4, 10451, 125000
2009, 4, 10452, 0
2009, 4, 10456, 300000
2009, 4, 10454, 970000
2009, 4, 10455, 0
2009, 4, 10459, 857250
2009, 4, 10474, 0
2009, 4, 10463, 207500
2009, 4, 10471, 195000
2009, 4, 10466, 999000
2009, 4, 10469, 378500
2009, 4, 10470, 76157
2009, 4, 10475, 0
2009, 4, 10461, 650000
2009, 4, 10462, 449000
2009, 4, 10464, 0
2009, 4, 10465, 200025
2009, 4, 10472, 479000
2009, 4, 10473, 269500
2009, 4, 11212, 624500
2009, 4, 11213, 699000
2009, 4, 11216, 549000
2009, 4, 11233, 699500
2009, 4, 11238, 645000
2009, 4, 11209, 157000
2009, 4, 11214, 950000
2009, 4, 11228, 605000
2009, 4, 11204, 177000
2009, 4, 11218, 219000
2009, 4, 11219, 0
2009, 4, 11230, 614250
2009, 4, 11234, 129000
2009, 4, 11236, 469500
2009, 4, 11239, 0
2009, 4, 11223, 1700000
2009, 4, 11224, 729000
2009, 4, 11229, 272740
2009, 4, 11235, 329406
2009, 4, 11201, 385000
2009, 4, 11205, 700000
2009, 4, 11215, 475000
2009, 4, 11217, 482500
2009, 4, 11231, 1100000
2009, 4, 11203, 429000
2009, 4, 11210, 1600000
2009, 4, 11225, 134000
2009, 4, 11226, 449000
2009, 4, 11207, 485000
2009, 4, 11208, 495000
2009, 4, 11211, 480000
2009, 4, 11222, 415500
2009, 4, 11220, 1350000
2009, 4, 11232, 123500
2009, 4, 11206, 385000
2009, 4, 11221, 514250
2009, 4, 11237, 299000
2009, 4, 10026, 1200000
2009, 4, 10027, 895000
2009, 4, 10030, 1855000
2009, 4, 10037, 140000
2009, 4, 10039, 249000
2009, 4, 10001, 550000
2009, 4, 10011, 450000
2009, 4, 10018, 418000
2009, 4, 10019, 537000
2009, 4, 10020, 0
2009, 4, 10036, 633450
2009, 4, 10029, 1510000
2009, 4, 10035, 1197500
2009, 4, 10010, 434000
2009, 4, 10016, 399000
2009, 4, 10017, 299000
2009, 4, 10022, 399000
2009, 4, 10012, 599000
2009, 4, 10013, 2200000
2009, 4, 10014, 499000
2009, 4, 10004, 603500
2009, 4, 10005, 799000
2009, 4, 10006, 595000
2009, 4, 10007, 797000
2009, 4, 10038, 595000
2009, 4, 10280, 545000
2009, 4, 10002, 3900000
2009, 4, 10003, 469000
2009, 4, 10009, 599000
2009, 4, 10021, 399756
2009, 4, 10028, 357500
2009, 4, 10044, 0
2009, 4, 10128, 398500
2009, 4, 10023, 379000
2009, 4, 10024, 499000
2009, 4, 10025, 379000
2009, 4, 10031, 740000
2009, 4, 10032, 975000
2009, 4, 10033, 299000
2009, 4, 10034, 199000
2009, 4, 10040, 194250
2009, 4, 11361, 65999
2009, 4, 11362, 129000
2009, 4, 11363, 517450
2009, 4, 11364, 139000
2009, 4, 11354, 0
2009, 4, 11355, 0
2009, 4, 11356, 0
2009, 4, 11357, 0
2009, 4, 11358, 749000
2009, 4, 11359, 0
2009, 4, 11360, 0
2009, 4, 11365, 695000
2009, 4, 11366, 0
2009, 4, 11367, 198944
2009, 4, 11412, 0
2009, 4, 11423, 200000
2009, 4, 11432, 82000
2009, 4, 11433, 0
2009, 4, 11434, 0
2009, 4, 11435, 107000
2009, 4, 11436, 0
2009, 4, 11101, 462850
2009, 4, 11102, 325000
2009, 4, 11103, 0
2009, 4, 11104, 238444
2009, 4, 11105, 344000
2009, 4, 11106, 299000
2009, 4, 11374, 135000
2009, 4, 11375, 135000
2009, 4, 11379, 0
2009, 4, 11385, 679000
2009, 4, 11691, 0
2009, 4, 11692, 0
2009, 4, 11693, 228000
2009, 4, 11694, 0
2009, 4, 11695, 0
2009, 4, 11697, 0
2009, 4, 11004, 0
2009, 4, 11005, 487500
2009, 4, 11411, 0
2009, 4, 11413, 0
2009, 4, 11422, 0
2009, 4, 11426, 875000
2009, 4, 11427, 0
2009, 4, 11428, 0
2009, 4, 11429, 799000
2009, 4, 11414, 4390000
2009, 4, 11415, 136250
2009, 4, 11416, 150000
2009, 4, 11417, 3800
2009, 4, 11418, 419000
2009, 4, 11419, 169000
2009, 4, 11420, 3200
2009, 4, 11421, 450700
2009, 4, 11368, 219000
2009, 4, 11369, 0
2009, 4, 11370, 503370
2009, 4, 11372, 154450
2009, 4, 11373, 275000
2009, 4, 11377, 139000
2009, 4, 11378, 661944
2009, 4, 10302, 25000000
2009, 4, 10303, 475000
2009, 4, 10310, 139000
2009, 4, 10306, 324950
2009, 4, 10307, 0
2009, 4, 10308, 0
2009, 4, 10309, 0
2009, 4, 10312, 0
2009, 4, 10301, 1499999
2009, 4, 10304, 469000
2009, 4, 10305, 1247000
2009, 4, 10314, 574000
